step,total_idx,avg_python,qualified_count,qualified_percentage
0,25,7.28,1,4.00%
3,30,11.30,2,6.67%
5,30,12.20,0,0.00%
7,30,11.03,3,10.00%
9,30,10.53,2,6.67%
12,30,8.20,2,6.67%
14,30,6.67,3,10.00%
16,30,8.13,2,6.67%
18,30,4.70,5,16.67%
20,30,4.03,6,20.00%
22,30,3.50,4,13.33%
24,30,2.87,5,16.67%
26,30,1.50,5,16.67%
28,30,1.67,6,20.00%
30,30,1.90,8,26.67%
32,30,1.47,12,40.00%
34,30,1.27,8,26.67%
35,1,0.00,0,0.00%
36,30,1.43,4,13.33%
37,1,4.00,1,100.00%
38,30,1.60,7,23.33%
